股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,收盘价_3天均值,收盘价_3天最大值,收盘价_3天最小值,收盘价_至今均值,收盘价_最大值
sh600000,浦发银行,2023-08-08,7.47,7.55,7.43,7.52,7.52,27001200,202344900,,,,7.52,7.52
sh600000,浦发银行,2023-08-09,7.5,7.55,7.47,7.55,7.52,17792600,133937300,,,,7.535,7.55
sh600000,浦发银行,2023-08-10,7.45,7.46,7.35,7.42,7.55,52865300,391107900,7.496666666666666,7.55,7.42,7.496666666666666,7.55
sh600000,浦发银行,2023-08-11,7.44,7.44,7.23,7.23,7.42,37051100,270665800,7.3999999999999995,7.55,7.23,7.43,7.55
sh600000,浦发银行,2023-08-14,7.18,7.2,7.05,7.1,7.23,44245500,315007700,7.25,7.42,7.1,7.364,7.55
sh600000,浦发银行,2023-08-15,7.12,7.19,7.09,7.17,7.1,31218700,222582900,7.166666666666667,7.23,7.1,7.331666666666667,7.55
sh600000,浦发银行,2023-08-16,7.15,7.19,7.12,7.14,7.17,22954000,163923300,7.136666666666667,7.17,7.1,7.304285714285713,7.55
sh600000,浦发银行,2023-08-17,7.13,7.14,7.05,7.1,7.14,37202500,263599000,7.136666666666666,7.17,7.1,7.27875,7.55
sh600000,浦发银行,2023-08-18,7.1,7.17,7.07,7.07,7.1,28150600,200372000,7.103333333333334,7.14,7.07,7.2555555555555555,7.55
sh600000,浦发银行,2023-08-21,7.06,7.11,6.96,6.96,7.07,42517700,298419500,7.043333333333333,7.1,6.96,7.226000000000001,7.55
sh600000,浦发银行,2023-08-22,6.98,7.04,6.97,7.01,6.96,32940000,230491400,7.013333333333333,7.07,6.96,7.206363636363636,7.55
sh600000,浦发银行,2023-08-23,7.01,7.09,6.98,7.02,7.01,30151400,212210300,6.996666666666666,7.02,6.96,7.190833333333333,7.55
sh600000,浦发银行,2023-08-24,7.03,7.06,6.98,6.99,7.02,24605000,172413200,7.006666666666667,7.02,6.99,7.1753846153846155,7.55
sh600000,浦发银行,2023-08-25,6.99,7.09,6.97,7.05,6.99,24703800,174021400,7.0200000000000005,7.05,6.99,7.166428571428571,7.55
sh600000,浦发银行,2023-08-28,7.3,7.32,7.12,7.15,7.05,66648100,480922500,7.0633333333333335,7.15,6.99,7.165333333333334,7.55
sh600000,浦发银行,2023-08-29,7.2,7.2,7.03,7.07,7.15,50437500,357554800,7.09,7.15,7.05,7.159375,7.55
sh600000,浦发银行,2023-08-30,7.1,7.1,7.01,7.03,7.07,28718300,202072800,7.083333333333333,7.15,7.03,7.151764705882353,7.55
sh600000,浦发银行,2023-08-31,7.03,7.09,6.98,6.98,7.03,32933200,231268200,7.026666666666667,7.07,6.98,7.142222222222222,7.55
sh600000,浦发银行,2023-09-01,6.99,7.04,6.99,7.01,6.98,21793000,152752400,7.006666666666667,7.03,6.98,7.1352631578947365,7.55
sh600000,浦发银行,2023-09-04,7.06,7.14,7.03,7.11,7.01,36814300,261369400,7.033333333333334,7.11,6.98,7.134,7.55
sh600000,浦发银行,2023-09-05,7.1,7.12,7.03,7.04,7.11,22326800,157581000,7.053333333333334,7.11,7.01,7.12952380952381,7.55
sh600000,浦发银行,2023-09-06,7.02,7.09,7.02,7.09,7.04,16736500,118026800,7.080000000000001,7.11,7.04,7.127727272727273,7.55
sh600000,浦发银行,2023-09-07,7.09,7.1,7.02,7.04,7.09,20271900,143062800,7.0566666666666675,7.09,7.04,7.123913043478261,7.55
